,Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Console_Product,Filtered_Publisher,Global_Sales (zeros)
14474,Harukanaru Toki no Naka de 6,PSV,2015,Action,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Playstation,Tecmo Koei,False
14475,Kong: King of Atlantis,GBA,2005,Action,THQ Nordic,0.02,0.01,0.0,0.0,0.03,Nintendo,THQ Nordic,False
14476,Kidou Senshi V Gundam,SNES,1994,Action,Bandai Namco Entertainment,0.0,0.0,0.03,0.0,0.03,Nintendo,Bandai Namco Entertainment,False
14477,Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki,DS,2005,Action,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,Nintendo,Konami Digital Entertainment,False
14478,Wrestle Angels: Survivor 2,PS2,2008,Fighting,Tryfirst,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14479,Onechanbara Z Kagura,X360,2012,Action,D3Publisher,0.0,0.0,0.03,0.0,0.03,Xbox,D3Publisher,False
14480,Ride,PC,2015,Racing,Milestone,0.0,0.03,0.0,0.0,0.03,PC,Other,False
14481,The King of Fighters 02/03,XB,2005,Fighting,SNK Playmore,0.02,0.01,0.0,0.0,0.03,Xbox,Other,False
14482,ESPN Winter X Games: Snowboarding 2002,XB,2002,Sports,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,Xbox,Konami Digital Entertainment,False
14483,Mega Minis Volume 2,PSP,2011,Misc,Sony Interactive Entertainment,0.0,0.02,0.0,0.01,0.03,Playstation,Sony Interactive Entertainment,False
14484,Safari Adventures: Africa,DS,2008,Adventure,Neko Entertainment,0.03,0.0,0.0,0.0,0.03,Nintendo,Other,False
14485,Tsuku Monogatari,PSP,2011,Adventure,FuRyu,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14486,Vitamin Z,PS2,2009,Adventure,D3Publisher,0.0,0.0,0.03,0.0,0.03,Playstation,D3Publisher,False
14487,Kaitou Tenshi Twin Angel: Toki to Sekai no Meikyuu,PSP,2011,Adventure,Alchemist,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14488,Shin Koihime Musou: Otome Ryouran * Sangokushi Engi - Wu-Hen,PSP,2010,Adventure,Yeti,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14489,Harukanaru Toki no Naka de 5: Kazahanaki,PSP,2012,Role-Playing,Ackkstudios,0.0,0.0,0.03,0.0,0.03,Playstation,Other,False
14490,The Island of Dr. Frankenstein,Wii,2009,Adventure,Storm City Games,0.03,0.0,0.0,0.0,0.03,Nintendo,Other,False
14491,Nobunaga no Yabou DS 2,DS,2008,Strategy,Tecmo Koei,0.0,0.0,0.03,0.0,0.03,Nintendo,Tecmo Koei,False
14492,The IdolM@ster: Gravure For You! Vol. 6,PS3,2012,Action,Bandai Namco Entertainment,0.0,0.0,0.03,0.0,0.03,Playstation,Bandai Namco Entertainment,False
14493,Metal Saga: Hagane no Kisetsu,DS,2006,Role-Playing,Success,0.0,0.0,0.03,0.0,0.03,Nintendo,Other,False
14494,Animaniacs: The Great Edgar Hunt,GC,2005,Platform,Ignition Entertainment,0.02,0.01,0.0,0.0,0.03,Nintendo,Other,False
